Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 5,466667; 6,1;0,46427961; 2,73; 18,920000; 37,84; 4,4;5;5;2;0; 79;101
 3,633333; 4,3;0,57348835; 1,78;  7,040000; 14,08; 3,2;5;5;3;0; 85; 95
 1,933333; 2,2;0,18856181; 0,59; 12,040154; 15,33; 2,1;5;5;2;0; 86; 94
 2,666667; 3,1;0,47842334; 0,92;  5,170000; 10,34; 2,2;5;5;2;0; 84; 98
 2,000000; 2,4;0,29439203; 0,50;  6,675000;  5,40; 1,5;5;5;1;0; 80; 95
 2,966667; 3,7;0,51854497; 1,17; 17,020000; 23,23; 2,3;5;5;3;0; 85; 95
 1,833333; 2,1;0,30912062; 0,55;  5,065818;  6,45; 1,5;5;5;2;1; 90; 90
 8,300000; 9,3;1,08012345; 6,05; 33,320000; 66,64; 4,9;5;5;3;1; 65;115
 8,166667;11,0;2,12027252; 8,54; 11,026990; 14,04; 2,7;5;5;2;1; 70; 94
 9,766667;11,0;1,34246870; 9,25;145,140000;166,46; 8,2;5;5;3;0; 65;109
11,566667;14,2;2,73292680;13,62; 22,515000; 45,03; 5,7;5;5;2;1; 80; 97
10,000000;10,9;0,73484692;10,99; 32,175000; 64,35; 6,5;5;5;2;0; 66;115
 8,400000;10,2;1,33666251;10,14;220,800000;252,80; 8,0;5;5;3;0; 72;115
15,600000;18,5;2,49933324;16,42;246,610000;493,22;18,2;5;5;2;1; 60;115
 4,366667; 6,4;1,71723292; 5,65; 86,260000;172,52; 7,6;3;2;2;0; 65;105
 9,266667;10,4;1,53260852; 6,54;136,290000;272,58;11,8;5;5;2;0; 60;107
 6,866667; 7,4;0,68475462; 3,08; 68,985000;137,97; 6,3;4;3;2;0; 83; 99
 4,400000; 4,5;0,08164966; 2,01; 45,360000; 90,72; 4,8;5;5;3;0; 75;100
12,066667;14,5;1,77826382; 5,49; 64,000000;128,00; 8,0;3;3;2;0; 62;120
 4,866667; 5,2;0,33993463; 1,97; 22,040000; 27,36; 3,8;5;5;3;0; 70;110
 6,133333; 7,1;0,68475462; 1,14; 14,880000; 29,76; 4,8;3;2;2;0; 80;100
 8,266667;10,0;1,85172592; 4,10; 98,240000;119,04; 6,4;2;2;2;0; 74;112
 6,933333; 7,9;1,22836838; 5,78; 65,769242; 83,74; 5,3;5;5;2;0; 76;104
 6,100000; 8,8;2,48596058; 5,18; 62,439154; 79,50; 5,3;5;5;3;0; 64;110
 7,100000; 8,2;0,77888810; 3,24; 19,550000; 39,10; 4,6;3;3;3;0; 75;111
 7,400000; 9,6;1,68720676; 4,51; 24,610000; 49,22; 4,6;5;5;4;0; 55;121
 5,633333; 6,5;0,65996633; 6,94;  9,228428; 11,75; 2,5;3;3;3;0; 67;111
 5,166667; 5,7;0,61824123; 3,71; 48,500000; 59,00; 5,0;5;5;5;0; 81; 96
 5,833333; 6,5;0,80553640; 4,16;  5,115000; 10,23; 3,3;5;5;5;0; 75;101
 4,766667; 6,0;1,11455023; 3,31;  7,950000; 15,90; 3,0;5;5;3;0; 65;107
 3,800000; 4,3;0,63770422; 1,54; 34,581081; 44,03; 3,7;5;5;2;0; 75; 99
 5,300000; 6,6;1,83847763; 1,90; 33,775000; 28,70; 3,5;5;5;3;1; 70;120
 3,566667; 4,5;0,82192187; 0,96;  6,120000; 12,24; 2,4;5;5;3;1; 76;100
 5,133333; 7,2;2,13124898; 2,21; 13,194689; 16,80; 2,8;5;5;3;0; 75; 96
 7,333333; 8,2;0,89566859; 3,07; 37,200000; 74,40; 6,0;5;5;4;0; 75;100
 8,066667; 9,7;1,59652400; 8,05; 46,690000; 65,54; 5,8;4;5;5;0; 75;114
 9,033333;12,8;2,68865931; 7,47; 31,980000; 40,18; 4,1;5;5;3;0; 65;105
 9,133333;12,3;2,65622958; 8,68;230,090000;313,88;13,3;3;3;2;1; 62;120
12,800000;14,9;2,29927525; 7,53; 17,600000; 35,20; 5,5;5;5;5;0; 76;100
11,666667;14,6;2,09973543;11,35; 97,600000;195,20; 8,0;5;5;3;0; 84; 95
 4,766667; 5,7;0,87305339; 3,26; 55,695000; 77,55; 4,7;5;5;2;1; 80; 95
 4,766667; 6,3;1,30979218; 1,69; 41,075000; 57,24; 5,3;5;5;2;1; 85; 91
10,766667;13,8;2,23059534;11,82; 64,990000;129,98; 9,7;4;2;3;0; 75; 99
14,700000;17,8;4,10446911;57,47;410,750000;821,50;15,5;2;2;1;0; 70;100
11,566667;15,7;4,03099106;18,56; 77,350000;105,00; 7,0;3;2;1;0; 64;115
 4,633333; 6,2;1,40079343; 3,76; 43,320000; 86,64; 5,7;5;5;3;0; 80; 94
 7,166667; 8,9;1,29185483; 4,39;267,954291;341,17;10,9;5;5;0;0; 45; 21
 9,633333;11,8;1,84089350; 8,66; 96,840000;120,24; 7,2;2;2;1;1; 68;115
10,666667;12,4;1,97709102;11,40; 28,910000; 57,82; 5,9;4;3;7;0; 76;109
 3,466667; 4,6;0,80553640; 2,22; 70,827206; 90,18; 5,4;5;5;3;0; 69;103
 7,066667; 9,8;2,13124898; 4,28; 93,330000;186,66;10,2;5;5;3;1; 66;101
14,566667;18,8;3,47019052;22,41; 35,500000; 53,00; 5,0;3;3;2;1; 71;109
 5,866667; 7,5;1,59652400; 3,60; 14,498450; 18,46; 2,6;3;3;3;0; 71;109
 6,366667; 7,0;0,82596745; 5,16; 21,991149; 28,00; 4,0;2;2;1;0; 78; 98
 5,700000; 6,5;0,80415587; 3,83; 36,720000; 73,44; 5,1;5;5;4;0; 70; 99
10,700000;12,2;1,47196014;21,10; 62,645000;125,29; 6,7;4;3;3;0; 61;119
 5,900000; 6,2;0,29439203; 4,88; 29,155000; 58,31; 4,9;4;3;2;0; 69;115
 6,500000; 8,6;1,71464282; 4,20; 49,320000; 98,64; 7,2;5;5;2;1; 71;100
 7,400000; 9,2;1,33666251; 5,61;128,375000;159,25; 6,5;5;5;3;1; 55;125
 5,933333; 6,9;0,71336449; 3,56; 38,800000; 51,20; 4,0;5;5;2;1; 67;112
